index,sport,total_events
0,Athletics,202
1,Swimming,95
2,Shooting,92
3,Cycling Track,71
4,Artistic Gymnastics,53
5,Rowing,49
6,Sailing,49
7,Wrestling,47
8,Archery,41
9,Canoe Sprint,36
10,Fencing,31
11,Judo,31
12,Weightlifting,31
13,Boxing,30
14,Art Competitions,27
15,Ballooning,26
16,Cross Country Skiing,25
17,Taekwondo,24
18,Tennis,21
19,Diving,18
20,Alpine Skiing,16
21,Wushu,15
22,Freestyle Skiing,15
23,Speed Skating,15
24,Snowboarding,15
25,Basque pelota,14
26,Biathlon,13
27,Table Tennis,12
28,Motorboating,11
29,Canoe Slalom,11
30,Short Track Speed Skating,11
31,Cycling Road,10
32,Badminton,10
33,Golf,9
34,Military Exercise,9
35,Karate,8
36,Skateboarding,8
37,Sport Climbing,6
38,Equestrian Jumping,6
39,Equestrian,6
40,Triathlon,6
41,Lifesaving,6
42,Figure Skating,6
43,Bobsleigh,6
44,Canoe Marathon,6
45,Waterskiing,6
46,Artistic Swimming,5
47,Modern Pentathlon,5
48,Equestrian Dressage,5
49,Nordic Combined,5
50,Ski Jumping,5
51,Ice Stock Sport,5
52,Rhythmic Gymnastics,4
53,Water Polo,4
54,Surfing,4
55,Marathon Swimming,4
56,Luge,4
57,Rugby Sevens,4
58,Volleyball,4
59,Kendo,4
60,3x3 Basketball,4
61,Cycling BMX Racing,4
62,Football,4
63,Basketball,4
64,Beach Volleyball,4
65,Croquet,4
66,Cycling BMX Freestyle,4
67,Cycling Mountain Bike,4
68,Equestrian Eventing,4
69,Hockey,4
70,Handball,4
71,Ice Hockey,3
72,Firefighting,3
73,Curling,3
74,Trampoline Gymnastics,2
75,Trampolining,2
76,Longue Paume,2
77,Racquets,2
78,Speed Skiing,2
79,Skeleton,2
80,Equestrian Vaulting,2
81,Boules,2
82,Bowling,2
83,Breaking,2
84,Automobile Racing,2
85,Bicycle Polo,1
86,Aeronautics,1
87,Gliding,1
88,Canne De Combat,1
89,Tug-Of-War,1
90,Bandy,1
91,Australian Rules Football,1
92,American Football,1
93,Winter Pentathlon,1
94,Alpinism,1
95,Baseball,1
96,Korfball,1
97,Softball,1
98,Cricket,1
99,Military Ski Patrol,1
100,Fishing,1
101,Motorcycle Sports,1
102,Pesäpallo,1
103,Polo,1
104,Roller Hockey,1
105,Roque,1
106,Equestrian Driving,1
107,Rugby,1
108,Dogsled Racing,1
109,Savate,1
110,Kaatsen,1
111,Lacrosse,1
112,Glíma,1
113,Skijoring,1
114,Jeu De Paume,1
